,country,Lat,Long_,confirmed,deaths,recovered,active,mortality,ISO3
163,Suriname,3.9193,-56.0278,5324.0,117.0,5210.0,-3.0,2.1975957926371152,SUR
164,Sweden,60.1282,18.6435,278912.0,7067.0,,271845.0,2.5337740936209268,SWE
165,Switzerland,46.8182,8.2275,344497.0,5349.0,260600.0,78548.0,1.5526985721210924,CHE
166,Syria,34.802075,38.99681500000001,8403.0,447.0,3943.0,4013.0,5.319528739735809,SYR
167,Taiwan*,23.7,121.0,716.0,7.0,574.0,135.0,0.9776536312849162,TWN
168,Tajikistan,38.861,71.2761,12428.0,87.0,11833.0,508.0,0.700032185387834,TJK
169,Tanzania,-6.369028,34.888822,509.0,21.0,183.0,305.0,4.12573673870334,TZA
170,Thailand,15.870032,100.992541,4107.0,60.0,3868.0,179.0,1.460920379839299,THA
171,Timor-Leste,-8.874217,125.727539,31.0,0.0,30.0,1.0,0.0,TLS
172,Togo,8.6195,0.8248,3095.0,65.0,2653.0,377.0,2.10016155088853,TGO
173,Trinidad and Tobago,10.6918,-61.2225,6767.0,122.0,5937.0,708.0,1.8028668538495638,TTO
174,Tunisia,33.886917,9.537499,104002.0,3561.0,76441.0,24000.0,3.4239726159112327,TUN
175,Turkey,38.9637,35.2433,828295.0,14900.0,431253.0,382142.0,1.7988760043221317,TUR
176,US,40.0,-100.0,14756914.0,282268.0,5624444.0,8850202.0,1.912784746187448,USA
177,Uganda,1.373333,32.290275,22499.0,206.0,9175.0,13118.0,0.9155962487221654,UGA
178,Ukraine,48.3794,31.1656,834913.0,14054.0,435575.0,385284.0,1.6832891570738509,UKR
179,United Arab Emirates,23.424076,53.847818,176429.0,592.0,159132.0,16705.0,0.33554574361357825,ARE
180,United Kingdom,55.0,-3.0,1727751.0,61342.0,3736.0,1662673.0,3.5503958614406823,GBR
181,Uruguay,-32.5228,-55.7658,7303.0,82.0,5062.0,2159.0,1.1228262357935097,URY
182,Uzbekistan,41.377491,64.585262,73904.0,611.0,71173.0,2120.0,0.8267482138991123,UZB
183,Vanuatu,-15.3767,166.9592,1.0,0.0,1.0,0.0,0.0,VUT
184,Venezuela,6.4238,-66.5897,104442.0,919.0,99494.0,4029.0,0.8799142107581241,VEN
185,Vietnam,14.058324,108.277199,1366.0,35.0,1220.0,111.0,2.562225475841874,VNM
186,West Bank and Gaza,31.9522,35.2332,98038.0,828.0,72773.0,24437.0,0.8445704726738612,PSE
187,Western Sahara,24.2155,-12.8858,10.0,1.0,8.0,1.0,10.0,ESH
188,Yemen,15.552727,48.516388,2337.0,639.0,1549.0,149.0,27.342747111681643,YEM
189,Zambia,-13.133897,27.849332,17916.0,364.0,17173.0,379.0,2.031703505246707,ZMB
190,Zimbabwe,-19.015438,29.154857,10718.0,291.0,8880.0,1547.0,2.715058779623064,ZWE
